No,late_w1,late_w2,late_w3,late_w4,late_w5,late_w6,late_w7,late_w8,late_w9,late_w10,late_w11,late_w12,late_w13,late_w14,late_w15,late_w16,late_w17,late_w18,late_w19,late_w20,late_w21,late_w22,late_w23,late_w24,late_w25,late_w26,late_w27,late_w28,late_w29,late_w30,late_w31,late_w32,late_w33,late_w34,late_w35,late_w36,late_w37,late_w38,late_w39,late_w40,late_w41,late_w42,late_w43,late_w44,late_w45,late_w46,late_w47,late_w48,late_w49,over_w1,over_w2,over_w3,over_w4,over_w5,over_w6,over_w7,over_w8,over_w9,over_w10,over_w11,over_w12,over_w13,over_w14,over_w15,over_w16,over_w17,over_w18,over_w19,over_w20,over_w21,over_w22,over_w23,over_w24,over_w25,over_w26,over_w27,over_w28,over_w29,over_w30,over_w31,over_w32,over_w33,over_w34,over_w35,over_w36,over_w37,over_w38,over_w39,over_w40,over_w41,over_w42,over_w43,over_w44,over_w45,over_w46,over_w47,over_w48,over_w49,hol_w1,hol_w2,hol_w3,hol_w4,hol_w5,hol_w6,hol_w7,hol_w8,hol_w9,hol_w10,hol_w11,hol_w12,hol_w13,hol_w14,hol_w15,hol_w16,hol_w17,hol_w18,hol_w19,hol_w20,hol_w21,hol_w22,hol_w23,hol_w24,hol_w25,hol_w26,hol_w27,hol_w28,hol_w29,hol_w30,hol_w31,hol_w32,hol_w33,hol_w34,hol_w35,hol_w36,hol_w37,hol_w38,hol_w39,hol_w40,hol_w41,hol_w42,hol_w43,hol_w44,hol_w45,hol_w46,hol_w47,hol_w48,hol_w49,breakt_w1,breakt_w2,breakt_w3,breakt_w4,breakt_w5,breakt_w6,breakt_w7,breakt_w8,breakt_w9,breakt_w10,breakt_w11,breakt_w12,breakt_w13,breakt_w14,breakt_w15,breakt_w16,breakt_w17,breakt_w18,breakt_w19,breakt_w20,breakt_w21,breakt_w22,breakt_w23,breakt_w24,breakt_w25,breakt_w26,breakt_w27,breakt_w28,breakt_w29,breakt_w30,breakt_w31,breakt_w32,breakt_w33,breakt_w34,breakt_w35,breakt_w36,breakt_w37,breakt_w38,breakt_w39,breakt_w40,breakt_w41,breakt_w42,breakt_w43,breakt_w44,breakt_w45,breakt_w46,breakt_w47,breakt_w48,breakt_w49,off_w1,off_w2,off_w3,off_w4,off_w5,off_w6,off_w7,off_w8,off_w9,off_w10,off_w11,off_w12,off_w13,off_w14,off_w15,off_w16,off_w17,off_w18,off_w19,off_w20,off_w21,off_w22,off_w23,off_w24,off_w25,off_w26,off_w27,off_w28,off_w29,off_w30,off_w31,off_w32,off_w33,off_w34,off_w35,off_w36,off_w37,off_w38,off_w39,off_w40,off_w41,off_w42,off_w43,off_w44,off_w45,off_w46,off_w47,off_w48,off_w49,half_w1,half_w2,half_w3,half_w4,half_w5,half_w6,half_w7,half_w8,half_w9,half_w10,half_w11,half_w12,half_w13,half_w14,half_w15,half_w16,half_w17,half_w18,half_w19,half_w20,half_w21,half_w22,half_w23,half_w24,half_w25,half_w26,half_w27,half_w28,half_w29,half_w30,half_w31,half_w32,half_w33,half_w34,half_w35,half_w36,half_w37,half_w38,half_w39,half_w40,half_w41,half_w42,half_w43,half_w44,half_w45,half_w46,half_w47,half_w48,half_w49,worktime_w1,worktime_w2,worktime_w3,worktime_w4,worktime_w5,worktime_w6,worktime_w7,worktime_w8,worktime_w9,worktime_w10,worktime_w11,worktime_w12,worktime_w13,worktime_w14,worktime_w15,worktime_w16,worktime_w17,worktime_w18,worktime_w19,worktime_w20,worktime_w21,worktime_w22,worktime_w23,worktime_w24,worktime_w25,worktime_w26,worktime_w27,worktime_w28,worktime_w29,worktime_w30,worktime_w31,worktime_w32,worktime_w33,worktime_w34,worktime_w35,worktime_w36,worktime_w37,worktime_w38,worktime_w39,worktime_w40,worktime_w41,worktime_w42,worktime_w43,worktime_w44,worktime_w45,worktime_w46,worktime_w47,worktime_w48,worktime_w49,workday_w1,workday_w2,workday_w3,workday_w4,workday_w5,workday_w6,workday_w7,workday_w8,workday_w9,workday_w10,workday_w11,workday_w12,workday_w13,workday_w14,workday_w15,workday_w16,workday_w17,workday_w18,workday_w19,workday_w20,workday_w21,workday_w22,workday_w23,workday_w24,workday_w25,workday_w26,workday_w27,workday_w28,workday_w29,workday_w30,workday_w31,workday_w32,workday_w33,workday_w34,workday_w35,workday_w36,workday_w37,workday_w38,workday_w39,workday_w40,workday_w41,workday_w42,workday_w43,workday_w44,workday_w45,workday_w46,workday_w47,workday_w48,workday_w49
4017990,0,3,5,4,5,4,5,2,4,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,5,3,4,5,5,3,3,5,5,5,5,4,4,5,4,4,2,1,4,4,2,2,3,3,0,0,1,1,3,1,1,3,2,2,5,6,5,6,3,3,3,2,2,6,6,5,4,2,6,2,1,2,2,3,1,0,1,1,3,2,0,2,3,0,2,2,2,3,0,2,6,2,2,0,0,0,1,1,1,0,1,1,2,2,2,2,2,2,2,2,1,0,2,2,2,3,2,2,2,0,2,1,0,2,1,1,1,1,1,1,2,2,0,2,3,1,2,0,2,1,1,2,1,2,7,16,13,7,5,1,4,3,17,47,42,33,40,27,29,24,34,40,45,56,49,48,39,26,6,24,18,20,24,16,22,15,5,14,3,2,9,5,4,10,6,2,8,3,8,5,6,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,596,1608,3138,2621,2832,2945,3332,1461,2568,4903,4238,3721,4671,3888,3383,3617,3598,2625,4393,4708,4375,3034,3936,4726,2707,1605,2921,2130,3636,2209,1753,2441,3170,2936,3397,2180,2547,3646,1936,2278,3565,3265,3324,2912,3289,3883,3463,3414,0,1,3,6,5,6,5,6,3,6,7,7,7,7,7,7,7,6,5,6,7,7,7,7,7,7,3,6,6,5,5,4,6,6,6,6,5,6,7,4,5,7,6,7,5,6,6,6,7,1
4019990,1,3,4,2,4,2,1,1,1,1,0,0,2,3,0,1,2,1,0,0,1,1,1,1,1,2,1,0,2,1,1,0,3,2,1,3,3,0,1,1,0,2,2,2,0,1,1,3,0,0,3,3,1,2,0,2,0,2,5,2,1,1,3,1,0,1,1,2,2,1,0,2,2,0,1,3,1,4,1,1,1,0,1,1,2,2,0,1,0,2,0,1,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,11,3,2,4,0,3,3,1,4,6,8,13,10,13,5,20,6,12,6,11,14,14,10,5,15,9,8,26,17,16,16,4,8,13,10,7,0,9,14,8,15,10,9,5,9,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,592,3527,4533,2529,3779,2830,3752,1251,2072,4090,3580,2388,2496,3443,3481,2162,3286,2108,2472,2372,3532,1530,3414,3363,3112,2490,3558,2579,4223,2284,2495,2486,2446,2003,3173,3272,3315,0,3325,2121,2742,3071,2780,3346,2770,3782,2563,2542,0,1,5,6,4,5,5,5,2,3,6,5,4,5,5,6,4,5,4,4,3,5,3,6,5,5,4,5,4,6,4,4,4,4,4,6,5,5,0,6,4,4,5,5,5,5,5,4,6,0
4019992,1,5,5,5,5,5,4,2,4,4,3,5,5,5,5,4,5,3,3,5,4,5,4,5,2,3,1,4,5,4,4,3,3,5,5,5,5,5,5,2,4,5,5,4,5,5,5,4,0,0,1,3,4,2,6,3,1,3,4,3,2,0,2,0,0,1,0,1,1,2,0,1,3,0,0,0,1,0,3,2,0,2,0,0,0,1,3,1,1,3,4,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,18,9,10,8,3,3,4,21,22,10,8,19,16,23,6,8,11,8,4,2,10,13,1,5,14,13,6,9,8,14,11,12,5,14,9,16,11,3,6,8,20,10,8,6,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3559,3731,2989,3853,4260,2845,1237,2566,4465,4289,3248,2913,3604,2621,3023,2813,2117,2641,2904,3468,3418,3409,3528,860,2065,2688,2487,3026,3409,2985,3397,2769,2460,2516,2742,3514,3543,3093,1926,2784,4028,3180,2196,2375,2758,2611,1800,0,1,6,6,6,5,6,4,2,4,6,6,5,5,5,5,5,5,4,4,5,5,5,6,5,2,4,5,4,5,5,5,6,4,5,5,5,5,5,6,3,4,5,5,4,5,5,5,4,0
4019994,0,2,2,4,4,3,4,2,2,4,4,3,2,4,5,5,3,3,5,5,5,4,4,3,5,2,1,1,1,2,2,3,1,3,4,4,5,5,3,3,1,2,3,3,3,3,4,4,1,0,5,3,2,4,1,5,0,1,1,4,0,0,3,3,4,5,2,3,3,4,1,0,2,3,4,5,4,3,4,3,4,3,4,2,3,2,4,5,2,2,2,3,4,5,6,5,3,1,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,1,1,1,1,1,2,0,0,0,0,1,0,0,1,1,2,0,0,0,1,2,1,1,1,1,0,39,35,38,41,22,48,13,18,18,27,6,11,16,29,33,36,26,28,21,41,13,7,18,30,23,51,44,42,58,30,59,25,38,30,27,29,59,70,38,31,31,33,55,47,54,44,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,3312,3719,3373,3379,1834,4409,1128,1831,2453,2655,1104,1185,2875,3419,3575,3730,2480,4076,2498,3606,2641,2363,2868,3371,3981,4330,4386,3798,4893,3107,4036,2365,4102,4049,3290,2728,4526,3590,2893,2849,2884,2551,4440,4153,4296,4443,3150,831,0,6,5,5,7,4,7,2,4,4,4,3,3,4,5,6,6,4,7,5,6,4,4,5,6,6,6,6,6,7,4,5,3,5,6,5,5,6,5,5,4,4,5,6,6,6,6,6,2
4019996,1,4,5,4,5,5,4,2,4,3,3,4,5,4,4,4,4,4,4,5,4,4,4,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,2,4,4,5,3,5,5,4,5,1,0,2,4,2,2,3,1,0,2,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,10,17,17,17,11,15,13,15,12,16,12,21,10,10,7,8,13,15,4,13,7,10,14,13,17,12,22,24,12,18,24,17,12,22,27,14,7,8,11,10,11,8,9,5,12,6,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,3262,3463,2955,3149,3374,3269,1091,2803,2717,2565,2177,2639,1903,2203,2165,2203,1955,2170,2918,2784,2286,2949,2295,2750,2417,2806,2868,2622,3104,3136,2122,2269,2978,2293,2464,3281,2559,2218,1165,1640,2216,2283,2244,2887,2549,3104,2953,0,1,5,5,5,5,5,5,2,4,5,5,4,5,4,4,4,4,4,4,6,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,2,4,4,5,4,5,5,5,5,1
4019998,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,3,1,4,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,6,30,29,65,39,60,39,23,25,10,1,15,5,19,17,8,14,35,16,16,9,14,13,11,0,2,9,8,13,11,19,13,2,11,22,18,6,14,21,23,12,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,2879,565,2892,2886,3380,2920,2861,2678,2929,2869,2621,2269,2371,2343,2703,1750,2849,2902,2858,2308,2984,2601,2856,2869,2498,3038,2347,2908,2869,2669,2911,2762,2242,1688,2268,3163,2762,2191,2107,2793,2178,2775,0,0,0,0,0,0,4,5,1,5,5,5,5,5,5,5,5,5,4,4,4,5,3,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,4,3,4,5,5,4,4,5,4,5,1
4020000,0,5,4,2,4,3,3,0,3,3,4,3,3,1,2,3,1,3,3,5,2,4,5,4,3,2,2,3,1,3,3,1,4,5,3,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,2,1,2,4,3,4,2,5,2,0,1,2,2,3,4,4,3,2,4,3,1,2,2,4,2,4,3,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,0,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,14,16,7,16,7,13,6,15,8,11,10,10,13,22,15,7,11,17,20,18,16,17,11,14,9,7,4,15,9,7,13,5,10,5,7,17,26,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,735,3727,4118,2353,4047,3107,3238,1625,2779,3131,4169,3729,4313,4582,4418,3519,2153,3055,4259,4597,4799,3699,4625,4054,4142,3979,2922,2762,4016,3641,3900,3959,3023,3172,3131,2889,2485,2642,1680,0,0,0,0,0,0,0,0,0,0,1,5,7,4,6,5,5,3,5,5,6,7,6,6,7,7,5,5,6,7,7,6,7,6,7,7,5,6,7,5,7,6,5,7,6,5,5,5,3,1,0,0,0,0,0,0,0,0,0
4020008,0,0,1,3,2,2,5,1,2,2,4,2,3,3,2,3,2,3,0,0,2,0,1,0,1,1,1,1,2,2,2,2,1,4,2,4,3,2,2,1,0,3,1,2,1,4,1,1,1,0,3,5,5,2,3,4,1,2,2,0,0,1,1,0,0,1,1,0,3,1,0,1,3,0,2,3,4,2,4,1,3,2,4,2,5,2,3,3,2,2,3,5,2,3,5,4,1,0,0,0,0,1,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,48,33,43,49,32,33,24,27,34,15,20,21,35,11,16,15,7,0,20,9,10,11,24,15,23,26,28,18,31,27,28,29,38,19,41,24,26,38,16,27,34,47,15,28,23,34,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987,4167,4361,4387,2980,3824,1688,2527,3343,2853,2899,2987,3412,2821,2836,2967,2486,0,3648,3473,2393,3255,3550,2322,3476,3316,4015,2750,3672,3802,3332,2966,2958,3796,4217,2935,2979,3934,2116,3338,3793,4321,2932,3826,4483,4472,919,0,0,5,5,6,7,4,5,3,5,5,5,5,6,6,5,5,5,4,0,5,6,4,5,5,4,5,5,6,4,5,7,5,5,5,6,6,5,4,6,3,5,5,6,5,5,6,6,2,1
4020010,0,1,2,2,2,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,2,3,2,2,1,3,4,3,4,2,3,1,1,0,1,3,2,4,3,4,1,2,4,5,2,3,3,3,3,2,2,0,1,4,3,1,1,4,4,4,2,1,2,2,3,0,0,1,0,0,1,1,0,1,1,2,1,2,1,1,2,0,1,0,0,2,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,0,11,9,5,8,4,8,8,9,20,12,15,2,9,14,10,8,8,9,18,17,7,14,22,12,16,14,4,21,16,11,18,11,4,3,4,12,15,12,6,17,4,10,11,6,5,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,820,3509,3693,3481,4732,3705,4277,1832,2825,4827,4195,4502,3808,4424,3791,2932,2915,2600,3072,5572,4358,3984,4286,3577,3727,5152,3807,3439,4075,3934,3871,4187,3034,2246,2335,3478,3674,4105,3996,2248,3842,3635,4061,3761,2717,4087,3986,3056,0,1,6,5,5,6,6,5,3,4,7,6,7,6,6,7,5,6,4,4,7,6,6,7,7,6,7,6,4,6,6,6,6,5,4,4,6,5,6,6,4,6,6,6,5,5,6,6,5,0
4020012,0,4,4,3,3,2,2,1,2,3,3,3,5,4,2,4,4,4,1,5,4,3,3,4,3,3,3,4,3,4,2,3,2,4,3,3,3,4,2,2,4,5,2,5,5,3,5,4,1,0,3,3,2,2,2,2,0,0,4,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,3,4,5,3,5,9,9,2,6,8,6,8,5,3,4,2,9,5,7,5,4,5,3,4,3,3,4,2,3,2,1,4,4,8,2,0,2,1,6,0,5,2,1,2,6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2612,3349,3193,2630,3159,2572,1114,2246,3521,3799,2755,2749,2625,2205,2975,3009,2211,2196,2754,3327,1692,2893,2808,2757,2787,2204,2827,2786,2644,2809,2149,2321,2819,2782,2830,3005,2891,2461,1842,2697,3254,2186,2750,2718,2230,2584,2709,0,0,5,5,5,4,5,4,2,4,5,6,5,5,5,4,5,5,4,4,5,6,3,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,3,4,5,4,5,5,4,5,5,1
