source,target,value,color
p1,dlate,0.8701775,grey
p1,dover,0.0681392,grey
p1,dhol,0.2381,grey
p1,dbreakt,0.7604538,grey
p1,dworktime,0.099282,grey
p1,dhalf,0.9994184,grey
p1,doff,1.0952004,grey
p2,dlate,0.85236534,grey
p2,dover,1.324052,grey
p2,dhol,1.3886102,grey
p2,dbreakt,0.3411357,grey
p2,dworktime,1.4450951,grey
p2,dhalf,0.96025593,grey
p2,doff,0.7472111,grey
p3,dlate,1.06111113,grey
p3,dover,1.8541018,grey
p3,dhol,1.3538048,grey
p3,dbreakt,2.3324049,grey
p3,dworktime,1.541861,grey
p3,dhalf,0.56192543,grey
p3,doff,0.7837258,grey
